ID,Time,Summary,Event_team,Opponent,Side,playerno,Player,Player2,Shot_place,Shot_outcome,is_goal,Location,Body_Part,assist_method,Situation,fastbreak,x,y,,,,,,,,,,,,,
5,20:31:00,"Ben Tucker, Sean Kim, center of the box, off target, too high, head, set piece, not a fast break, no goal, throw in",Occidental,George Fox,1,27,Ben Tucker,Sean Kim,10,2,0,3,3,0,2,0,12,7,,,,,,,,,,,,,
5,23:45:00,"Adrian Paredes, Matthew Teplitz, left side of the 6-yd box, blocked, blocked, head, corner, not a fast break, no goal, cross",Occidental,George Fox,1,14,Adrian Paredes,Matthew Teplitz,3,3,0,10,3,2,2,0,10,2,,,,,,,,,,,,,
5,26:15:00,"Ben Simon, Matthew Teplitz, 25-yds+, on target, center of the goal, left foot, open play, not a fast break, no goal, pass",Occidental,George Fox,1,8,Ben Simon,Matthew Teplitz,5,1,0,17,2,1,1,0,13,17,,,,,,,,,,,,,
5,27:26:00,"Adrian Paredes, center of the box, on target, top left corner of the goal, head, set piece, not a fast break, no goal, throw in",Occidental,George Fox,1,14,Adrian Paredes,,12,1,0,3,3,0,2,0,12,7,,,,,,,,,,,,,
5,29:12:00,"Spencer Shearer, Joey Schwartz, outside the box, on target, bottom left corner of the goal, right foot, open play, fast break, no goal, pass",Occidental,George Fox,1,3,Spencer Shearer,Joey Schwartz,3,1,0,15,1,1,1,1,13,10,,,,,,,,,,,,,
5,32:24:00,"Marcus Blumenfeld, right wing, off target, high and wide, head, open play, not a fast break, no goal, cross",Occidental,George Fox,1,9,Marcus Blumenfeld,,6,2,0,5,3,2,1,0,23,6,,,,,,,,,,,,,
5,36:51:00,"Ryan Wilson, Ben Simon, center of the box, on target, to the left of the goal, head, open play, not a fast break, no goal, cross",Occidental,George Fox,1,4,Ryan Wilson,Ben Simon,8,1,0,3,3,2,1,0,12,7,,,,,,,,,,,,,
5,50:53:00,"Matthew Teplitz, left side of the box, off target, high and wide, left foot, set piece, not a fast break, no goal, throw in",Occidental,George Fox,1,7,Matthew Teplitz,,6,2,0,9,2,0,2,0,7,5,,,,,,,,,,,,,
5,51:23:00,"Jack Meeker, left side of the box, off target, bottom left corner of the goal, left foot, open play, fast break, no goal",Occidental,George Fox,1,13,Jack Meeker,,3,2,0,9,2,0,1,1,7,5,,,,,,,,,,,,,
5,52:30:00,"Ben Simon, Joey Schwartz, right side of the box from a difficult angle, off target, to the right of the goal, head, open play, not a fast break, no goal, cross",Occidental,George Fox,1,8,Ben Simon,Joey Schwartz,9,2,0,8,3,2,1,0,23,2,,,,,,,,,,,,,
5,57:28:00,"Matthew Teplitz, left side of the box, blocked, blocked, right foot, open play, not a fast break, no goal",Occidental,George Fox,1,7,Matthew Teplitz,,2,3,0,9,1,0,1,0,7,5,,,,,,,,,,,,,
5,61:46:00,"Joey Schwartz, left wing, on target, bottom left corner of the goal, right foot, open play, not a fast break, no goal",Occidental,George Fox,1,19,Joey Schwartz,,3,1,0,4,1,0,1,0,2,6,,,,,,,,,,,,,
5,70:54:00,"Jake Foster, Matthew Teplitz, very close range, off target, a bit too high, head, open play, not a fast break, no goal, cross",Occidental,George Fox,1,18,Jake Foster,Matthew Teplitz,1,2,0,13,3,2,1,0,12,2,,,,,,,,,,,,,
5,79:54:00,"Milels Robertson, 25-yds+, blocked, blocked, left foot, open play, not a fast break, no goal",Occidental,George Fox,1,23,Miles Robertson,,2,3,0,17,2,0,1,0,13,17,,,,,,,,,,,,,
5,81:25:00,"Daivd Paine, Matthew Teplitz left side of the box, blocked, blocked, right foot, corner, not a fast break, no goal, cross",Occidental,George Fox,1,5,David Paine,Matthew Teplitz,2,3,0,9,1,2,2,0,7,5,,,,,,,,,,,,,
5,81:38:00,"David Paine, left side of the 6-yd box, on target, bottom left corner, left foot, open play, not a fast break, no goal",Occidental,George Fox,1,5,David Paine,,3,1,0,10,2,0,1,0,10,2,,,,,,,,,,,,,
5,83:22:00,"Daivd Paine, Sean Kim, right side of the box, off target, bottom left corner, head, set piecce, not a fast break, no goal, throw in",Occidental,George Fox,1,5,David Paine,Sean Kim,3,2,0,11,3,0,2,0,18,5,,,,,,,,,,,,,
5,87:59:00,"Nicolas Eble, Adrian Paredes, center of the box, on target, center of the goal, left foot, open play, not a fast break, no goal, through ball",Occidental,George Fox,1,6,Nicolas Eble,Adrian Paredes,5,1,0,3,2,4,1,0,12,7,,,,,,,,,,,,,
5,88:44:00,"Jake Foster, right wing, blocked, blocked, right foot, open play, not a fast break, no goal",Occidental,George Fox,1,18,Jake Foster,,2,3,0,5,1,0,1,0,23,6,,,,,,,,,,,,,
5,96:08:00,"Ben Simon, left side of the box, on target, bottom left corner of the goal, right foot, open play, not a fast break, no goal",Occidental,George Fox,1,8,Ben Simon,,3,1,0,9,1,0,1,0,7,5,,,,,,,,,,,,,
5,99:07:00,"Ben Simon, Matthew Teplitz, center of the box, off target, to the right of the goal, left foot, open play, not a fast break, no goal, pass",Occidental,George Fox,1,8,Ben Simon,Matthew Teplitz,9,2,0,3,2,1,1,0,12,7,,,,,,,,,,,,,
5,101:41:00,"Adrian Paredes, 30-yds+, on target, center of the goal, right foot, open play, not a fast break, no goal, pass",Occidental,George Fox,1,14,Adrian Paredes,,5,1,0,18,1,1,1,0,13,22,,,,,,,,,,,,,
5,102:56:00,"Joey Schwartz, Nicolas Eble, outside the box, off target, a bit too high, right foot, open play, not a fast break, no goal, pass",Occidental,George Fox,2,19,Joey Schwartz,Nicolas Eble,1,2,0,15,1,1,1,0,13,10,,,,,,,,,,,,,
6,0:52,"Nicolas Eble, 25-yds+, off target, high and wide, right foot, open play, not a fast break, no goal",Occidental,Lake Forest,1,6,Nicolas Eble,,6,2,0,17,1,0,1,0,13,17,,,,,,,,,,,,,
6,6:16,"David Paine, Riley McCabe, right side of the 6-yd box, off target, to the left, right foot, set piece, not a fast break, no goal, pass",Occidental,Lake Forest,1,5,David Paine,Riley McCabe,8,2,0,12,1,1,2,0,15,2,,,,,,,,,,,,,
6,17:31,"Truitt, outside the box, off target, too high, right foot, open play, not a fast break, no goal",Lake Forest,Occidental,2,0,Erik Truitt,,10,2,0,15,1,0,1,0,13,10,,,,,,,,,,,,,
6,20:38,"Adrian Paredes, Jasper Brannon, right side of the 6-yd box, off target, too high, head, set piece, not a fast break, no goal, pass",Occidental,Lake Forest,1,14,Adrian Paredes,Jasper Brannon,10,2,0,12,3,1,2,0,15,2,,,,,,,,,,,,,
6,29:04:00,"Aubert, left wing, off target, high and wide, right foot, open play, not a fast break, no goal",Lake Forest,Occidental,2,0,Gaston Aubert,,6,2,0,4,1,0,1,0,2,6,,,,,,,,,,,,,
6,36:17:00,"Logan Myers, 25-yds+, woodwork, right of the goal, left foot, open play, not a fast break, no goal",Occidental,Lake Forest,1,16,Logan Myers,,9,4,0,17,2,0,1,0,13,17,,,,,,,,,,,,,
6,38:23:00,"Joao Godoy, left side of the 6-yd box, off target, left of the goal, right foot, open play, not a fast break, no goal, pass",Lake Forest,Occidental,2,0,Joao Godoy,,8,2,0,10,1,1,1,0,18,5,,,,,,,,,,,,,
6,40:42:00,"Ben Simon, difficult angle and long range, on target, top right corner, left foot, free kick, not a fast break, no goal",Occidental,Lake Forest,1,8,Ben Simon,,13,1,0,6,2,0,4,0,13,13,,,,,,,,,,,,,
6,41:54:00,"David Paine, center of the box, blocked, blocked, head, corner, not a fast break, no goal",Occidental,Lake Forest,1,5,David Paine,,2,3,0,3,3,3,3,0,12,7,,,,,,,,,,,,,
6,43:59:00,"Joao Godoy, right side at a difficult angle, on target, bottom right corner, left foot, open play, not a fast break, no goal",Lake Forest,Occidental,2,0,Joao Godoy,,4,1,0,8,2,0,1,0,23,2,,,,,,,,,,,,,
6,58:06:00,"Joao Godoy, left wing, off target, high and wide, left foot, open play, not a fast break, no goal, pass",Lake Forest,Occidental,2,0,Joao Godoy,,6,2,0,4,2,1,1,0,2,6,,,,,,,,,,,,,
